zcta,income_bin,bin_lower_annual_usd,bin_upper_annual_usd,assumed_annual_income_usd,assumed_hourly_wage_usd,household_count,probability_mass
ZCTA5 10002,<$10k,0,10000.0,5000.0,2.4,9,0.0950950950950951
ZCTA5 10002,$10–14.9k,10000,15000.0,12500.0,6.01,10,0.10910910910910912
ZCTA5 10002,$15–24.9k,15000,25000.0,20000.0,9.62,11,0.11811811811811813
ZCTA5 10002,$25–34.9k,25000,35000.0,30000.0,14.42,9,0.0900900900900901
ZCTA5 10002,$35–49.9k,35000,50000.0,42500.0,20.43,11,0.11011011011011011
ZCTA5 10002,$50–74.9k,50000,75000.0,62500.0,30.05,9,0.09809809809809811
ZCTA5 10002,$75–99.9k,75000,100000.0,87500.0,42.07,8,0.08608608608608609
ZCTA5 10002,$100–149.9k,100000,150000.0,125000.0,60.1,11,0.11911911911911913
ZCTA5 10002,$150–199.9k,150000,200000.0,175000.0,84.13,5,0.056056056056056056
ZCTA5 10002,$200k+,200000,,250000.0,120.19,11,0.11811811811811813
ZCTA5 10003,<$10k,0,10000.0,5000.0,2.4,7,0.075
ZCTA5 10003,$10–14.9k,10000,15000.0,12500.0,6.01,3,0.033
ZCTA5 10003,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.033
ZCTA5 10003,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.023
ZCTA5 10003,$35–49.9k,35000,50000.0,42500.0,20.43,4,0.046
ZCTA5 10003,$50–74.9k,50000,75000.0,62500.0,30.05,8,0.08900000000000001
ZCTA5 10003,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07200000000000001
ZCTA5 10003,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.121
ZCTA5 10003,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.11699999999999999
ZCTA5 10003,$200k+,200000,,250000.0,120.19,39,0.391
ZCTA5 10005,<$10k,0,10000.0,5000.0,2.4,0,0.003992015968063873
ZCTA5 10005,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.01596806387225549
ZCTA5 10005,$15–24.9k,15000,25000.0,20000.0,9.62,0,0.0019960079840319364
ZCTA5 10005,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.024950099800399205
ZCTA5 10005,$35–49.9k,35000,50000.0,42500.0,20.43,5,0.05089820359281438
ZCTA5 10005,$50–74.9k,50000,75000.0,62500.0,30.05,4,0.04191616766467066
ZCTA5 10005,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07884231536926149
ZCTA5 10005,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.12674650698602796
ZCTA5 10005,$150–199.9k,150000,200000.0,175000.0,84.13,13,0.1387225548902196
ZCTA5 10005,$200k+,200000,,250000.0,120.19,51,0.5159680638722556
ZCTA5 10006,<$10k,0,10000.0,5000.0,2.4,3,0.03
ZCTA5 10006,$10–14.9k,10000,15000.0,12500.0,6.01,0,0.0
ZCTA5 10006,$15–24.9k,15000,25000.0,20000.0,9.62,2,0.021
ZCTA5 10006,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.027999999999999997
ZCTA5 10006,$35–49.9k,35000,50000.0,42500.0,20.43,7,0.076
ZCTA5 10006,$50–74.9k,50000,75000.0,62500.0,30.05,7,0.07400000000000001
ZCTA5 10006,$75–99.9k,75000,100000.0,87500.0,42.07,5,0.054000000000000006
ZCTA5 10006,$100–149.9k,100000,150000.0,125000.0,60.1,10,0.10300000000000001
ZCTA5 10006,$150–199.9k,150000,200000.0,175000.0,84.13,8,0.08900000000000001
ZCTA5 10006,$200k+,200000,,250000.0,120.19,52,0.525
ZCTA5 10007,<$10k,0,10000.0,5000.0,2.4,4,0.04804804804804805
ZCTA5 10007,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.014014014014014014
ZCTA5 10007,$15–24.9k,15000,25000.0,20000.0,9.62,0,0.0
ZCTA5 10007,$25–34.9k,25000,35000.0,30000.0,14.42,1,0.01601601601601602
ZCTA5 10007,$35–49.9k,35000,50000.0,42500.0,20.43,1,0.011011011011011013
ZCTA5 10007,$50–74.9k,50000,75000.0,62500.0,30.05,2,0.024024024024024024
ZCTA5 10007,$75–99.9k,75000,100000.0,87500.0,42.07,3,0.031031031031031036
ZCTA5 10007,$100–149.9k,100000,150000.0,125000.0,60.1,4,0.04404404404404405
ZCTA5 10007,$150–199.9k,150000,200000.0,175000.0,84.13,14,0.14314314314314316
ZCTA5 10007,$200k+,200000,,250000.0,120.19,66,0.6686686686686687
ZCTA5 10009,<$10k,0,10000.0,5000.0,2.4,10,0.105
ZCTA5 10009,$10–14.9k,10000,15000.0,12500.0,6.01,6,0.062
ZCTA5 10009,$15–24.9k,15000,25000.0,20000.0,9.62,7,0.071
ZCTA5 10009,$25–34.9k,25000,35000.0,30000.0,14.42,3,0.037000000000000005
ZCTA5 10009,$35–49.9k,35000,50000.0,42500.0,20.43,5,0.054000000000000006
ZCTA5 10009,$50–74.9k,50000,75000.0,62500.0,30.05,11,0.11800000000000001
ZCTA5 10009,$75–99.9k,75000,100000.0,87500.0,42.07,9,0.095
ZCTA5 10009,$100–149.9k,100000,150000.0,125000.0,60.1,14,0.145
ZCTA5 10009,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.111
ZCTA5 10009,$200k+,200000,,250000.0,120.19,20,0.20199999999999999
ZCTA5 10010,<$10k,0,10000.0,5000.0,2.4,4,0.04909819639278557
ZCTA5 10010,$10–14.9k,10000,15000.0,12500.0,6.01,2,0.02805611222444889
ZCTA5 10010,$15–24.9k,15000,25000.0,20000.0,9.62,4,0.04208416833667335
ZCTA5 10010,$25–34.9k,25000,35000.0,30000.0,14.42,4,0.04208416833667335
ZCTA5 10010,$35–49.9k,35000,50000.0,42500.0,20.43,2,0.02805611222444889
ZCTA5 10010,$50–74.9k,50000,75000.0,62500.0,30.05,6,0.06713426853707415
ZCTA5 10010,$75–99.9k,75000,100000.0,87500.0,42.07,6,0.06212424849699398
ZCTA5 10010,$100–149.9k,100000,150000.0,125000.0,60.1,14,0.14829659318637273
ZCTA5 10010,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.11122244488977955
ZCTA5 10010,$200k+,200000,,250000.0,120.19,42,0.4218436873747495
ZCTA5 10011,<$10k,0,10000.0,5000.0,2.4,4,0.045
ZCTA5 10011,$10–14.9k,10000,15000.0,12500.0,6.01,2,0.027999999999999997
ZCTA5 10011,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.039
ZCTA5 10011,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.024
ZCTA5 10011,$35–49.9k,35000,50000.0,42500.0,20.43,6,0.064
ZCTA5 10011,$50–74.9k,50000,75000.0,62500.0,30.05,8,0.08900000000000001
ZCTA5 10011,$75–99.9k,75000,100000.0,87500.0,42.07,6,0.065
ZCTA5 10011,$100–149.9k,100000,150000.0,125000.0,60.1,15,0.154
ZCTA5 10011,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.11800000000000001
ZCTA5 10011,$200k+,200000,,250000.0,120.19,37,0.374
ZCTA5 10012,<$10k,0,10000.0,5000.0,2.4,7,0.074
ZCTA5 10012,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.014999999999999998
ZCTA5 10012,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.03899999999999999
ZCTA5 10012,$25–34.9k,25000,35000.0,30000.0,14.42,3,0.034999999999999996
ZCTA5 10012,$35–49.9k,35000,50000.0,42500.0,20.43,4,0.044
ZCTA5 10012,$50–74.9k,50000,75000.0,62500.0,30.05,9,0.09699999999999998
ZCTA5 10012,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07899999999999999
ZCTA5 10012,$100–149.9k,100000,150000.0,125000.0,60.1,18,0.18799999999999997
ZCTA5 10012,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.09399999999999999
ZCTA5 10012,$200k+,200000,,250000.0,120.19,33,0.33499999999999996
ZCTA5 10013,<$10k,0,10000.0,5000.0,2.4,4,0.04091816367265469
ZCTA5 10013,$10–14.9k,10000,15000.0,12500.0,6.01,5,0.04990019960079841
ZCTA5 10013,$15–24.9k,15000,25000.0,20000.0,9.62,5,0.05489021956087825
ZCTA5 10013,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.024950099800399205
ZCTA5 10013,$35–49.9k,35000,50000.0,42500.0,20.43,3,0.029940119760479045
ZCTA5 10013,$50–74.9k,50000,75000.0,62500.0,30.05,8,0.08383233532934133
ZCTA5 10013,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07485029940119761
ZCTA5 10013,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.12375249500998006
ZCTA5 10013,$150–199.9k,150000,200000.0,175000.0,84.13,10,0.10179640718562875
ZCTA5 10013,$200k+,200000,,250000.0,120.19,41,0.41516966067864275
ZCTA5 10014,<$10k,0,10000.0,5000.0,2.4,4,0.0439121756487026
ZCTA5 10014,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.017964071856287428
ZCTA5 10014,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.030938123752495016
ZCTA5 10014,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.0219560878243513
ZCTA5 10014,$35–49.9k,35000,50000.0,42500.0,20.43,4,0.048902195608782444
ZCTA5 10014,$50–74.9k,50000,75000.0,62500.0,30.05,7,0.07385229540918165
ZCTA5 10014,$75–99.9k,75000,100000.0,87500.0,42.07,9,0.09780439121756489
ZCTA5 10014,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.1287425149700599
ZCTA5 10014,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.09780439121756489
ZCTA5 10014,$200k+,200000,,250000.0,120.19,43,0.43812375249501
ZCTA5 10038,<$10k,0,10000.0,5000.0,2.4,9,0.09
ZCTA5 10038,$10–14.9k,10000,15000.0,12500.0,6.01,6,0.06
ZCTA5 10038,$15–24.9k,15000,25000.0,20000.0,9.62,6,0.06
ZCTA5 10038,$25–34.9k,25000,35000.0,30000.0,14.42,3,0.033
ZCTA5 10038,$35–49.9k,35000,50000.0,42500.0,20.43,5,0.051
ZCTA5 10038,$50–74.9k,50000,75000.0,62500.0,30.05,7,0.075
ZCTA5 10038,$75–99.9k,75000,100000.0,87500.0,42.07,8,0.087
ZCTA5 10038,$100–149.9k,100000,150000.0,125000.0,60.1,15,0.153
ZCTA5 10038,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.094
ZCTA5 10038,$200k+,200000,,250000.0,120.19,29,0.297
